decoded_emojis,rating
التطبيق بيشتغلش بس عن الموقع تشتغل حلووووو المشكله هادي,1
عدت انتظر ساعة كاملة ودفعت واخر شي يقولون لي بنكنسل الطلب لنك بعيد عنا والجلوس ترجع لك بعد ايام لا تطلبون من طلبات ينرفزون يرفعون الظغط ويخلونك تنتظر ساعتين بعدين يردون يقولون لك ما نظر اني طلبك طيب واليوم اللي عدت فيه لمدة ساعتين,-1
بايييييخ ما حبييييتة,1
الناس ما يعجبها العجب اقسممم بالله تطبييييق رااااائع بجننننن ويا ريت كل التطبيقااات متل هيكل,1
راااااااائع جدا انصح الجميع لاستخدامه,1
تطبيق فاشل اسعار غاليه وخدمات سيئه يحلو في خصومات وبس تدخل ما يخصم شي اغلب الطلبات ناقصه بالبدايه كان جميل ولكن الآن سيئ جدا confused face confused face,-1
جادي جدا,1
شكرا طلبات! لولاكم كان معرفناش ناكل حاجة كويسة face savoring food,1
تطبيق جيد thumbs up thumbs up,1
احلى تطبيق العالم يستاهل الف لايك,1
يسعد دينك,1
جميل جدآ مرة حلو,1
excellent smiling face,1
.,0
غير منصف اسعار غير حقيقيه,-1
خدمه التوصيل تتأخر,-1
جيد راءعععععغغ,1
ممتاز هو امن هو سهل الاستخدام,1
تطبيق استغلالي مع الكابتن,-1
بالنسبه لي السعودية ليش مو حادين كل المناطق مثل نيران,1
زال بكل معنى الكلمة تاخير في التوصيل المشروبات محدودة وكانه هو الي يختار ويفترض عليك مو نفس لما تتصل شخصيا على المطعم بعض المطاعم ماتحصل ويكون موجود لها فرع بالمحافظة والمنطقة ويكون موجود بالبرنامج,-1
ممتاز جدا ولاكن في بعض المطاعم الي يجي اكلهم بارد الي هم زعتر وزيت المهم شكرا لكم على المجهود الطيب,1
لايريد الفتح ممكن حل المشكله,-1
جميل جدا يعطيك خيارات كثير واحد العروض,1
عجيييييييييب,1
جيده ومفيد,1
مره حلووو,1
مررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررررههههههههههههه حللللللللللللللللللللللللو,1
نرجو متاحه شحن رصيد التطبيق من خلال البنك الاولى,-1
انا حضرتك محتاج اسعار اعرف خامات فينوس ازاى,0
هل في نظام دورات مدارس,1
يتأخر تشوي,1
اا,1
تطبيق ممتاز,1
برنامج رائع انصحك بتحميله,1
دايم يتاخر بتوصيل اخر مرة ساعتين تشوي يوصل الاكل باااارد,-1
يعطيكم العافية.. الفكرة ممتازة بس في مشكلة بالتطبيق بعمق وكثير مرات بطيء,1
الاكل بصل بارد ماكول نصف,-1
ازاي بقدر احدد الاجرة التقريبية من قبل ما اركب ؟ زي باقي الابلكيشنز ؟؟؟؟,0
على طول اطلب منه,1
اعطي موظفين الدرايفر حقهم,-1
طلبت طلبيه لي ساعه ويوم اتصلت عليهم قالو طلبكم اللغة حيوانيين ذبحنا الجوع angry face,-1
تجربه حلوه جدا,1
برنامج ممتاز يستحق التجربة,1
انا لا يوجد معكم تجربه سابقه ... ولكن اعلم انكم شركه جميله مريحه ..,1
يريحني من المشاهير,1
التحديث الجديد جميل جدا بحيث انك تستطيع الاختيار واريحيه... شكرا,1
جيد جدا جدا جدا جدا جدا,1
ممتاز بسرعه في الوصول,1
وقف على الدعايه طابت,1
جميل . سريع . متوفر في كل الاوقات . توفر المطاعم المطلوبة,1
بعد ساعة ونص من الطلب بالتأكيد ..يتم الغاء الطلب من قبل المطعم عليكم التواصل جيدا مع المطاعم,-1
face with steam from nose face with steam from nose face with steam from nose thumbs down thumbs down thumbs down,1
نصب في نصب كل العروض مش شغل زي الكون مش تشتغل مع المطعم الي هي مفقود ممكن تستخدم فيها الأبوان نصب,-1
بارد الشمري,1
ابلكشن طلبات احسن ابلكشن استخدمته,1
رائعين وخدمة متميزة,1
تطبيق جميل clapping hands thumbs up,1
تم تغير طلبي اليوم ..وعامل طلبات لم يرضى استبدال الطلب من الزبونة الثانية للأسف لا يوجد رقم الشكاوي .. ومحل الحلويات غير مسؤول عن تغير الطلب خارج المحل علم ان هذا الطلب بالشوكولا وانا لا احب الشوكولا بالكنافة,-1
طلبت مرات ولا يقبلون الطلب,-1
كان كويس في الأول دلوقتى بقى زباااالة جدا بعته الكود الخصم اي استخدمه ميرضاش يعمل الطلب الوسخ برنامج بصراحة,-1
افضل والتر برنامج مساعد للاشخاص,1
، smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes face blowing a kiss face blowing a kiss,1
خدمه زي الزفت,-1
الخاصية الجديده ليست رائعه لان التتبع هو الاتصال بي السائق صارت غير مرتاحه,-1
جميل جدا 🖒,1
fifty,1
مصابين معاملة سيئه جدا طلبت موردر وجه عكس ماكنت طلبه ورفضت الاستلام وكنت دفعه عن طريق كارت الائتمان من يوم // واتصلت بيهم علشان استرد حق تانى معاملة زلت واتفجاة في الاخر ان عن ااابلكيشن بيقول أن استلام الاوردر وانا رفضه لما كلمة الشاب الاجابة الاوردر الى والله رجعت ليهم وحتى اليوم لما يتم استرداد المبلغ نصيحه بلاش حد يتعامل معاهم طوال نصفين,-1
وحش جدا جدا جدا,-1
برنامج من اروع ما يكون,1
سهل مره قد طلبت انا منه جاني بدري,1
مش مني بالمرة,-1
كونك في هو كتكوت.,-1
غير جيد,1
شركه ممتازه في الخدمه راحه والان وهو ونطافه,1
مبدعين smiling cat with heart-eyes two hearts,1
محافظه من حافظات الاراضي وغسيل المنورهمن,0
كويس لحد دلوقت مقبول,1
سريع وراء حياتى لى من اى مكان,1
بينصبو على الناس,-1
thumbs up good,1
موقع متميز ولكن عدد المطاعم محدود,1
سي جدا جدا عروض وهميه وعند الشراء اون لاين يتم سحب المبلغ من حسابك تانى يوم يتصل بيك حد من رايه يقول غير متوفر المنتج المطلوب بوفيه عطل والجلوس ترجع حسابك بعد يوم وانا من يوم / اسحب منى مبلغ وهما كنسلو الاوردر وحتى اليوم / لم يتم ارجاع المبلغ والبنك الى لايعمل شكوى فانصيحه العدو عن الموقع ده او حتى ابعد عن الشراء اون لاين من عليه لو انت لاتكون واثق فى منتجاتهم عندك نون سوق جوليا صراحه محترمين جدا والله والله دى كانت تجربتى مع رايه,-1
غير مطلوب تفعيله حاليا,-1
كفو والله,1
جميل ان تتصفح قوائم المطاعم وتختار ايعجبك الاجمل ان تقوم بالتقييم التعليق لتحسين الخدمات لتقديم النصح للعملاء,1
لعيون صاحبي الي نازيين تأكلوا حقه بعد سنة هو شهور,-1
ممتاز هذة التطبيق,1
كتير,1
تاخير في التوصيل عن الوقت المتوقع كثيرا اصلا من الغيت تنزيل البرنامج نزلت كيلو,-1
برنامج سيئ جدا الطلب استغرق اكثر من ساعات بالعلم انه المفروض انه يوصل في دقيقه والسائق يقول ارسلي الموقع أرسلته فوق مرات وهو يقول انا تحت انزل ماالقيه وفي النهايه مااستلم طلبي,-1
اهلا بك أنا إسمي لي لي محمد الي حاجه أعجبتني في ابلكيشن طلبات إن هو آنتي قاعده تطلبي بكل سهوله هو كمان الخصم /خصم حاجه فوق الهائلة شكرا جزيلا لك الذي اصنع ابلكيشن طلبات بجد حقيقي شكرا جدا,1
ليش ما ينفتح عندي ارجو الرد,-1
تطبيق جدا ممتاز بصراحه,1
بجنون,1
جميل جدا بس لو كان فيه اكثر من مطعم كان احسن وافضل,1
كل شي ممتاز ولكن هناك مشكله في بعض الوجبات حيث لا توجد عليها صور لكي يتعرف الزبون عن الوجبه وحين تضعون الصور يجب ان تكون متطابقه مع شكلها الحقيقي face blowing a kiss,1
مقاطعة شبابنا مو لعبة بأيديكم حتى تستغلوهم ونرى,-1
شكرا على وصولكم بمنطقة ولاية لوى,1
اسوأ من السئ,-1
برنامج جيدآ جدآ وسهل يختصر عليك الكثير,1
برسستد,1
جميلللللل,1
كيف اقدر اجيب رمز القديمه كل مادي اي استخدم الرسميه بيركيلي ادخل رمز القديمه مافي أضافه قديمه مش عارفه كيف ياريت تريدوني neutral face neutral face,1
سهل استخدام التطبيق,1
