Unnamed: 0,new_rating,decoded_emojis
45,1,تجربه مرضيه والتوصيل كان كويس ومعقول
50,1,"بصراحة تغيير كبير في سياسة طلبات مع الزبائن، هناك تقدير لمستخدم طلبات بعكس الأول،يتم التواصل بسرعة معنا وحل الموضوع و التعويض اذا حصل مشكلة,لكن يجب مراجعة سعر التوصيل التطبيقات الثانية أقل سعر و أحيانا بدون سعر توصيل ، شكرا طلبات rose"
56,-1,لماذة لا استطيع استخدام القسائم
66,1,جيد جدا
73,0,3w2d32d32
106,0,قءىقءء٣خغءسص٢٣_€/'٣،ب١ص٢ص
112,-1,الأمر صار غريب أكثر من مرة بطلع أنه الطلب مرفوض Unable to validate
132,-1,قال حسيتو تضايق من صعصغغغعععععععععغ في عدد غغغفغععه
135,-1,جيد ولكن الطلب يتأخر عده مرات
148,-1,ضريب
151,-1,البحث عن الوجبة في التطبيق اصبح اصعب، التطبيق حاليا يقترح مطاعم لا تحتوي على الوجبة المطلوبة اصلا
173,0,لدى مطعم تجهيز فى المنزل اريد التواصل معكم
215,-1,تاني مرة يحصل غلط في الاوردر ومش لاقية رقم للتواصل
392,-1,البرنامج كان رائع ولكن من بعد آخر تحديث أصبح لا يعمل
450,-1,ما حدا يشتري من البطاقه عشان بصيرو طلبات يوخدو مصاري بدون ما تعرفي وصارت معي مشكله انا موصي من ابو عمر وصيت من تبع الهاشمي بس وصل الطلب بحكي انا رحت على النصر الحساب ليرا وبريز بحكيلي الحساب ليرتين وستين وما دفعب ياريت يا طلبات تصلحو هاي المشكله
496,0,خ رب يا فغ ربوع ث ق قصص يا رب red heart ؤخؤث٥ققغهف غلق
607,-1,ماتوصل شي واحد
610,0,ضعي بلاستيشن س
633,0,صديق ،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،
653,-1,انوهو تطبيق جيد لاكن بعد التحديث اصبح الخدمات لاسا بزيدي الرجاء ترجيع التحديث القابل انا اطلب بخدمات يزي العلم ول ناس اضا لام يتم اصلحا المشكلا ولا سوف احذف تطبيق كمان سوف ابلاغ
704,-1,التطبيق ما يشتغل حرفيا ليش لما إوصي غلى طلب ما يذبط و صعوبة تحديد الموقع crying face crying face
706,0,السلام عليكم ورحمة الله وبركاته كيفية التسجيل كمندوب توصيل بالتطبيق؟؟
794,-1,اسفه علي التقيم السيئ لكن الطعام اغلي من سعر الطعام العادي ارجو حل هذه المشكله
816,-1,مرحبا انا من الأردن هناك شيء ناقص في مطعم McDonald's ليش ما في بيج ماك تشكين بس في لحم لازم يكون في كمان دجاج بيج ماك تشكين ورجاء أصلاح المشكلة
834,-1,الخيارات نادرة جدا
859,-1,في سائقين يوصلون أكثر من طلب في الوقت الواحد ولعنوانين مختلفين ! يعني يروح يوصل الطلب الآخر وبعدين طلبي ! وطلبي اذا كان ساخن بيوصل فاتر وإذا كان بارد بيوصل لا
908,-1,زايد بل اسعار
917,-1,انا اسف على التقيم السيء لاكن لا أستطيع تحميل تطبيق طلبات جربت كل الهواتف الي بلبيت بس ما اعرف المشكلة..
955,1,ممتاز جدا شكرا
1015,0,اختاريت ٣ نجوم لأن المطاعم محدودة جدا وقليلة الموجودة في القائمة لكن من ناحية الخصم وسرعة التوصيل ممتازة جداً
1016,-1,وااايد حلو بس في مشكلة ان التطبيق كل ما ادخل يطلعني من البرنامج ... أتمنى حل هذه المشكلة rose
1056,0,"⁦8-)⁩⁦O_o⁩⁦8-)⁩⁦8-)⁩⁦8-)⁩⁦8-)⁩⁦=_=⁩⁦8-)⁩⁦8-)⁩⁦:-D⁩⁦:-D⁩⁦:-)⁩⁦:-D⁩⁦:-D⁩⁦:-D⁩⁦:-)⁩⁦:-D⁩⁦:-)⁩⁦:-D⁩⁦:-D⁩⁦:-)⁩⁦:-O⁩⁦>.<⁩⁦>.<⁩⁦:-(⁩⁦:-)⁩⁦:-)⁩⁦:-)⁩⁦:,-)⁩⁦>.<⁩⁦:‑X⁩⁦:-(⁩دد"
1099,0,مقبول
1119,-1,حمدان
1125,-1,جملاهعه
1135,-1,انا لم افتح التطبيق بيقلي التحديث ومبيا تحادث ابادا
1155,-1,كل ما اختار مطعم يكتب حدث خطأ ....حدثته ونفس المشكلة
1168,-1,شكرا على سرعة التوصيل لكن يتم توصيل الطلبية ناقصه ارجو حل المشكله
1219,-1,التطبيق كان ممتاز بس صار يطلعني من التطبيق اول ما افتح عليه بطلعني منه ما بعرف ليش
1242,-1,مش عارف شو سبب الخلل الي فترة بحاول احدد الموقع تبعي وحذفت طلبات ورجعت نزلتو وما قبل يفتح نهااائي شو السبب؟ ومع مين اتواصل!
1249,-1,البرنامج كويس جدا بس عندي مشكله اني هو مفيش مطاعم ف نطاق بيتي مع اني قريبه من مدنية نصر ووسط البلد ومن كل اماكن وف برنامج تانيه بتوصل عادي ليا
1314,-1,برنامج جميل لكن واجهنا صعوبه في تحديد مكان منزلنا confused face
1316,1,مفيده
1361,-1,لَم يَتني الرمز الخاص بي علا الرسائل
